"longitude","latitude","value","type","fold"
1.012876,52.37696,1,"presence",1
-0.16003467,51.571457,1,"presence",1
-2.834979,53.40813,1,"presence",1
-0.6295521,51.555397,1,"presence",1
-3.5253468,56.048477,1,"presence",1
0.011440661,51.581684,1,"presence",1
-2.896663,53.479603,1,"presence",1
0.039829165,51.667534,1,"presence",1
-0.2075618,51.279903,1,"presence",1
-0.48235214,51.643517,1,"presence",1
0.12285442,52.20386,1,"presence",1
-3.1688993,52.964798,1,"presence",1
-0.3312682,51.821327,1,"presence",1
-2.5162456,52.551357,1,"presence",1
-1.9645997,50.695564,1,"presence",1
-4.4018574,54.24107,1,"presence",1
-3.368569,57.704098,1,"presence",1
-4.588638,54.282158,1,"presence",1
-2.6762397,53.35969,1,"presence",1
-3.0389435,55.873806,1,"presence",1
-3.0635278,53.523186,1,"presence",1
-3.3585293,55.870693,1,"presence",1
0.13442972,51.71082,1,"presence",1
-0.27760026,51.132557,1,"presence",1
-2.9298637,50.779552,1,"presence",1
-2.7311668,56.50502,1,"presence",1
-4.6907825,54.198997,1,"presence",1
-0.78991055,51.21992,1,"presence",1
-2.8652472,53.41691,1,"presence",1
-4.406566,54.32189,1,"presence",1
-2.4885585,53.374092,1,"presence",1
0.1164265,52.08392,1,"presence",1
-0.6222057,51.55981,1,"presence",1
-1.792909,54.987892,1,"presence",1
0.023735203,51.63094,1,"presence",1
-2.962629,52.72839,1,"presence",1
1.282405,52.057198,1,"presence",1
0.060387857,51.67437,1,"presence",1
0.011440661,51.581684,1,"presence",1
-2.356126,50.695477,1,"presence",1
-3.1987443,55.872353,1,"presence",1
0.039829165,51.667534,1,"presence",1
-4.474754,54.17666,1,"presence",1
-2.074054,52.732277,1,"presence",1
-1.9645997,50.695564,1,"presence",1
-5.3327456,55.503494,1,"presence",1
-3.9114656,57.14354,1,"presence",1
-3.368569,57.704098,1,"presence",1
-1.5115798,50.68555,1,"presence",1
-3.971204,53.25092,1,"presence",1
-2.8509192,53.45297,1,"presence",1
-3.5328538,52.092957,1,"presence",1
-5.240761,51.89509,1,"presence",1
-2.225421,53.361397,1,"presence",1
-3.0442495,53.352547,1,"presence",1
-4.483916,54.329315,1,"presence",1
-4.4742174,54.16768,1,"presence",1
-3.0413494,55.96365,1,"presence",1
0.6676208,51.53307,1,"presence",1
0.09544034,51.634624,1,"presence",1
0.036213372,51.65141,1,"presence",1
-3.1209955,50.94156,1,"presence",1
-4.6391187,54.110226,1,"presence",1
-0.0068264627,51.626064,1,"presence",1
0.042072862,51.653103,1,"presence",1
-2.1126752,53.348072,1,"presence",1
0.154761,50.90052,1,"presence",1
0.41781014,52.25799,1,"presence",1
0.016116457,51.622074,1,"presence",1
-1.1932689,52.707077,1,"presence",1
-4.474754,54.17666,1,"presence",1
-2.9767501,53.357613,1,"presence",1
-4.4446673,54.186264,1,"presence",1
-3.5527558,51.188892,1,"presence",1
0.016116457,51.622074,1,"presence",1
-2.2258966,53.45129,1,"presence",1
-0.23508242,52.404892,1,"presence",1
0.042072862,51.653103,1,"presence",1
-3.5826385,53.283684,1,"presence",1
-0.63224727,51.4655,1,"presence",1
-0.27760026,51.132557,1,"presence",1
-3.2951167,56.054256,1,"presence",1
-4.691366,54.207977,1,"presence",1
0.14412452,52.204826,1,"presence",1
-4.110854,57.92708,1,"presence",1
-1.792909,54.987892,1,"presence",1
-0.45734325,51.314938,1,"presence",1
-3.866208,53.07728,1,"presence",1
-0.17897877,51.998928,1,"presence",1
-2.564312,53.41871,1,"presence",1
-3.7650113,50.560776,1,"presence",1
-0.6137657,53.241177,1,"presence",1
0.13442972,51.71082,1,"presence",1
-0.20930387,51.41933,1,"presence",1
-4.488982,54.158382,1,"presence",1
0.023735203,51.63094,1,"presence",1
-4.7066827,54.207634,1,"presence",1
-2.0708885,50.754005,1,"presence",1
-3.937267,57.83999,1,"presence",1
-6.2530303,49.956474,1,"presence",1
-3.0442495,53.352547,1,"presence",1
-3.20152,55.962193,1,"presence",1
-3.2043116,56.05203,1,"presence",1
-1.8946347,54.936794,1,"presence",1
-3.971204,53.25092,1,"presence",1
-3.0442495,53.352547,1,"presence",1
-2.0751405,53.361584,1,"presence",1
0.039829165,51.667534,1,"presence",1
0.01844057,50.9223,1,"presence",1
0.016116457,51.622074,1,"presence",1
0.036213372,51.65141,1,"presence",1
0.12285442,52.20386,1,"presence",1
0.023735203,51.63094,1,"presence",1
-2.318906,55.878227,1,"presence",1
-0.3311814,51.232265,1,"presence",1
-3.0603876,53.397354,1,"presence",1
-4.5048256,54.167046,1,"presence",1
-3.1209955,50.94156,1,"presence",1
-0.19698207,51.54955,1,"presence",1
-4.5448155,54.319054,1,"presence",1
-0.21702495,51.590324,1,"presence",1
-3.2026615,50.657887,1,"presence",1
-4.255988,53.12133,1,"presence",1
-0.2283081,52.40884,1,"presence",1
-1.6448796,50.843426,1,"presence",1
-2.8282435,53.448635,1,"presence",1
0.042072862,51.653103,1,"presence",1
-4.488982,54.158382,1,"presence",1
1.0754174,51.163258,1,"presence",1
-3.0603876,53.397354,1,"presence",1
-5.7034802,50.06533,1,"presence",1
-0.30155227,51.25882,1,"presence",1
-2.518367,52.731167,1,"presence",1
-2.2332048,53.410824,1,"presence",1
-0.4370492,51.59481,1,"presence",1
-3.0259192,54.458385,1,"presence",1
0.09544034,51.634624,1,"presence",1
-1.9645997,50.695564,1,"presence",1
-1.5115798,50.68555,1,"presence",1
0.039829165,51.667534,1,"presence",1
-4.011222,52.985,1,"presence",1
0.011440661,51.581684,1,"presence",1
-3.4041595,53.33087,1,"presence",1
-0.8983437,52.367527,1,"presence",1
-4.691366,54.207977,1,"presence",1
-4.4070907,54.330875,1,"presence",1
-3.574315,53.26132,1,"presence",1
0.060387857,51.67437,1,"presence",1
0.08681537,51.019135,1,"presence",1
-1.20177,51.83046,1,"presence",1
-4.504283,54.158066,1,"presence",1
0.042072862,51.653103,1,"presence",1
0.060387857,51.67437,1,"presence",1
-1.6455606,50.75349,1,"presence",1
-1.6250899,53.271122,1,"presence",1
0.13442972,51.71082,1,"presence",1
-2.8652472,53.41691,1,"presence",1
-3.0259192,54.458385,1,"presence",1
-3.0635278,53.523186,1,"presence",1
-1.926249,52.55246,1,"presence",1
-1.926249,52.55246,1,"presence",1
0.2880682,52.314087,1,"presence",1
0.28126362,52.31017,1,"presence",1
-0.19991769,52.021732,1,"presence",1
-3.0131373,50.727142,1,"presence",1
-0.19991769,52.021732,1,"presence",1
-0.26842397,51.94632,1,"presence",1
-1.9292469,50.66407,1,"presence",1
-3.4274287,53.353073,1,"presence",1
-3.1176054,52.996758,1,"presence",1
-3.866208,53.07728,1,"presence",1
-4.1600895,52.982388,1,"presence",1
-4.023846,53.25453,1,"presence",1
-3.577625,53.35118,1,"presence",1
-3.7241788,53.259243,1,"presence",1
-5.240761,51.89509,1,"presence",1
-6.505907,53.369564,1,"presence",1
-6.2816625,53.32296,1,"presence",1
-9.5639,51.751457,1,"presence",1
-7.0288353,52.20092,1,"presence",1
-9.100991,52.95286,1,"presence",1
-5.834589,54.641117,1,"presence",1
-6.2789516,53.315735,1,"presence",1
-6.2816625,53.32296,1,"presence",1
-8.709155,51.634792,1,"presence",1
-9.503163,52.05874,1,"presence",1
-6.1128345,53.13529,1,"presence",1
-1.58333,50.86667,1,"presence",1
